Time;69_10;69_36;69_49;69_62;69_75;69_88;69_101;69_790;69_894;69_933;69_946
17.01.2023 09:46:20.370000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.420000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.470000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.520000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.570000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.620000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.670000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.720000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.770000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.820000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.870000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.920000;1;1;1;0;1;1;1;0;1;1;0
17.01.2023 09:46:20.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.070000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.120000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.170000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.720000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.770000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.820000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.870000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.920000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:21.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.070000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.120000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.170000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.720000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.770000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.820000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.870000;1;1;1;1;1;1;1;0;1;1;0
